obszar,lokacja,cena,przestrzeń_m2,cena_m2,ilość_pokoi
lubelskie,"Grabniak, lubelskie",459900,,6570,3
lubelskie,"Kajetanów, lubelskie",989000,,6340,5
lubelskie,"Krasnystaw, lubelskie",329000,,3357,5
lubelskie,"ul. Szeroka, Nowy Krępiec, świdnicki, lubelskie",560000,,3522,6
lubelskie,"Udrycze-Wola, lubelskie",640000,,2443,5
lubelskie,"Konopnica, lubelski, lubelskie",1650000,,6680,7
lubelskie,"Zamość, lubelskie",649000,,3982,6
lubelskie,"Bychawka Druga-Kolonia, lubelskie",870000,,5800,4
lubelskie,"ul. Jabłoniowa, Puławy, lubelskie",600000,,4478,5
lubelskie,"ul. Różana, Niemce, lubelskie",899000,,3746,6
lubelskie,"Potok Górny, biłgorajski, lubelskie",269000,,100,6
lubelskie,"Lublin, Sławinek",1599000,,10451,5
lubelskie,"Chełm, Antonin, ul. Wolwinów",570000,,4957,5
lubelskie,"Słotwiny, opolski, lubelskie",560000,,5333,4
lubelskie,"Miła , Góra Puławska, lubelskie",660000,,5116,5
lubelskie,"Klikawa, lubelskie",950000,,5278,5
lubelskie,"Sobibór, lubelskie",699000,,4040,4
lubelskie,"ul. Astrowa, Chełm, lubelskie",590000,,4214,5
lubelskie,"Łęczna, lubelskie",699000,,4821,4
lubelskie,"Olchowa, Turka, lubelskie",609000,,5205,4
lubelskie,"ul. Olchowa, Turka, lubelskie",639000,,5462,4
lubelskie,"Lipowiec, biłgorajski, lubelskie",385000,,3208,4
lubelskie,"Lublin, Zemborzyce, ul. Pasieczna 6D",450000,,6471,3
lubelskie,"Niemce, lubelskie",380000,,4000,5
lubelskie,"Zamość, lubelskie",569000,,4246,4
lubelskie,"Wytyczno, włodawski, lubelskie",410000,,2733,5
lubelskie,"Lublin, Węglinek, Poznańska",1095000,,3422,9
lubelskie,"Okuninka - Jezioro Białe, Okuninka, lubelskie",420000,,10500,3
lubelskie,"Świdnik, lubelskie",550000,,9167,3
lubelskie,"Kienkówka, lubelskie",430000,,2867,4
lubelskie,"Bodaczów, lubelskie",204000,,2318,6
lubelskie,"ul. Władysława Stanisława Reymonta, Biała Podlaska, lubelskie",700000,,4154,7
lubelskie,"Lublin, lubelskie",899000,,6659,4
lubelskie,"Stare Załucze, lubelskie",450000,,6429,3
lubelskie,"Nowa, Dęblin, rycki, lubelskie",599000,,2496,8
lubelskie,"Zamość, lubelskie",1200000,,6522,5
lubelskie,"Lublin, Sławin, ul. Osikowa",1599000,,10263,4
lubelskie,"Elizówka, lubelskie",670000,,4554,4
lubelskie,"Zamość, Karolówka",620000,,5167,4
lubelskie,"ul. Miętowa, Świdnik, lubelskie",650000,,4855,4
lubelskie,"Miętowa, Świdnik, lubelskie",750000,,5869,4
lubelskie,"Nasutów, lubelskie",699000,,3736,5
lubelskie,"Lublin, Konstantynów",900000,,3750,8
lubelskie,"Jakubowice Konińskie, lubelskie",930000,,3941,5
lubelskie,"Czosnówka, lubelskie",945000,,945000,6
lubelskie,"Lublin, lubelskie",579000,,5079,5
lubelskie,"Mołożów, lubelskie",250000,,962,7
lubelskie,"Stary Bubel, lubelskie",120000,,1579,2
lubelskie,"Lublin, LSM",1500000,,3409,10+
lubelskie,"Świdnik, lubelskie",1589000,,7945,5
lubelskie,"Lublin, Czechów, ul. Poligonowa",1100000,,7254,5
lubelskie,"Lublin, Dziesiąta, ul. Wyzwolenia",649000,,6926,5
lubelskie,"Nowy Orzechów, lubelskie",435000,,4833,4
lubelskie,"ul. Juliana Opani, Puławy, lubelskie",950000,,7480,4
lubelskie,"Biłgoraj, lubelskie",1050000,,3949,5
lubelskie,"Dęblin, lubelskie",594000,,4400,4
lubelskie,"Nowiny, krasnostawski, lubelskie",250000,,1603,3
lubelskie,"Partyzantów, Chodel, opolski, lubelskie",653840,,4000,4
lubelskie,"Tuszów, lubelskie",465000,,2612,5
lubelskie,"Lublin, Abramowice, ul. Zorza",820000,,5734,5
lubelskie,"Tomaszowice, lubelskie",660000,,5789,4
lubelskie,"Lublin, Ponikwoda, ul. Nasturcjowa",751000,,6430,4
lubelskie,"Lublin, Konstantynów, ul. Władysława Ruckiego",979000,,5439,6
lubelskie,"Lublin, Szerokie",433000,,7217,3
lubelskie,"Świdnik, lubelskie",579000,,6433,4
lubelskie,"Zamość, lubelskie",450000,,6429,3
lubelskie,"Ćmiłów, lubelskie",670000,,5826,6
lubelskie,"Lublin, Sławin, ul. Sławinkowska",1390000,,6318,5
lubelskie,"Samoklęski, lubelskie",375000,,3750,5
lubelskie,"Biała Podlaska, lubelskie",649000,,4464,5
lubelskie,"Porosiuki, lubelskie",649000,,4464,4
lubelskie,"Porosiuki, lubelskie",859000,,3799,5
lubelskie,"Biała Podlaska, lubelskie",829000,,3473,6
lubelskie,"Porosiuki, lubelskie",889000,,3724,6
lubelskie,"Natalin, lubelski, lubelskie",819000,,7445,4
lubelskie,"Siennica Nadolna, krasnostawski, lubelskie",315000,,2864,6
lubelskie,"Lublin, Węglinek",3400000,,14167,6
lubelskie,"Marysin, lubelski, lubelskie",1390000,,9392,4
lubelskie,"Krzczonów, lubelski, lubelskie",629000,,3145,5
lubelskie,"Franciszków, lubelskie",660000,,3929,5
lubelskie,"Biała Podlaska, lubelskie",789000,,3490,6
lubelskie,"Grabanów-Kolonia, lubelskie",1300000,,9286,4
lubelskie,"ul. Warszawska 80, Małaszewicze Małe, lubelskie",85000,,1700,3
lubelskie,"Biłgoraj, lubelskie",349000,,3483,4
lubelskie,"Zamość, lubelskie",740000,,3874,6
lubelskie,"Zamość, lubelskie",499000,,2792,4
lubelskie,"Łuszczów Pierwszy, lubelskie",670000,,4961,5
lubelskie,"Niedrzwica Duża, lubelskie",590000,,4797,5
lubelskie,"Niedrzwica Duża, lubelskie",439000,,6754,4
lubelskie,"Janowiec, lubelskie",1500000,,5000,5
lubelskie,"Lublin, lubelskie",1270000,,6684,5
lubelskie,"Dominów, lubelskie",730000,,5840,5
lubelskie,"Puławy, lubelskie",580000,,5792,4
lubelskie,"Lublin, Rudnik, ul. Goździkowa",499000,,2376,5
lubelskie,"Zamość, Majdan",699000,,5461,4
lubelskie,"Jakubowice Konińskie, lubelskie",775000,,5741,5
lubelskie,"Jakubowice Konińskie, lubelskie",775000,,5741,5
lubelskie,"Jakubowice Konińskie, lubelskie",843000,,5725,4
lubelskie,"Lawendowe Wzgórze 6, Jastków, lubelskie",799000,,5432,6
lubelskie,"ul. Młyńska, Zamość, lubelskie",549000,,3431,8
lubelskie,"Nałęczów, lubelskie",560000,,2333,10
lubelskie,"ul. Partyzantów, Dołhobyczów, lubelskie",2356000,,11263,5
lubelskie,"Elizówka, lubelskie",1500000,,4839,6
lubelskie,"Świdnik, lubelskie",1120000,,6588,6
lubelskie,"ul. Jana Kasprowicza 23, Biała Podlaska, lubelskie",490000,,4455,5
lubelskie,"Kurów, puławski, lubelskie",639000,,4474,5
lubelskie,"Lublin, Abramowice, Abramowice Prywatne",840000,,6176,4
lubelskie,"Góra Puławska, lubelskie",490000,,6148,3
lubelskie,"Okuninka, lubelskie",350000,,7955,2
lubelskie,"gen. Józefa Zajączka, Chełm, lubelskie",395000,,7453,2
lubelskie,"Jabłonna Druga, lubelskie",949000,,7908,4
lubelskie,"Nasutów, lubelskie",649000,,4807,5
lubelskie,"Łaziska, opolski, lubelskie",299800,,3748,4
lubelskie,"Zamość, Karolówka, Rolnicza",720000,,5813,4
lubelskie,"Nowy Orzechów, lubelskie",420000,,3307,4
lubelskie,"Wólka Zabłocka, lubelskie",169000,,2817,2
lubelskie,"Uniszowice, lubelskie",1490000,,3556,5
lubelskie,"Różana, Chełm, lubelskie",349000,,2792,5
lubelskie,"Lublin, Śródmieście, al. Solidarności",1199000,,8621,4
lubelskie,"Motycz, lubelskie",1190000,,5425,6
lubelskie,"Motycz, lubelskie",799000,,6794,4
lubelskie,"Motycz, lubelskie",879000,,6156,4
lubelskie,"ul., Biłgoraj, lubelskie",850000,,3864,9
lubelskie,"Zemborzyce Podleśne, lubelskie",1060000,,7970,5
lubelskie,"Lublin, Dziesiąta",620000,,4397,4
lubelskie,"Janówka, Chełm, lubelskie",599000,,6240,4
lubelskie,"Kaszuby, lubelskie",28810,,232,4
lubelskie,"Przemysłowa, Opole Lubelskie, lubelskie",449000,,2494,3
lubelskie,"Konopnica, lubelskie",3500000,,6098,7
lubelskie,"Lublin, Szerokie",1890000,,10000,5
lubelskie,"Piaski, lubelskie",330000,,3300,4
lubelskie,"Lublin, Lipniak",1850000,,8409,5
lubelskie,"Pólko, lubelskie",699000,,5592,5
lubelskie,"Jarzębinowa, Świdnik, lubelskie",695000,,5560,5
lubelskie,"Łuków, lubelskie",780000,,5200,5
lubelskie,"Dołhobrody, lubelskie",165000,,1833,3
lubelskie,"Kliny, lubelskie",790000,,3950,4
lubelskie,"ul. Wojska Polskiego 13, Zamość, lubelskie",1300000,,3895,10+
lubelskie,"Lubartów, lubelskie",480000,,3721,4
lubelskie,"BOREK ul. Jesionowa 6, Turka, lubelskie",679000,,4702,5
lubelskie,"Czeputka, lubelskie",229000,,2694,3
lubelskie,"Konopnica, lubelskie",1400000,,6364,6
lubelskie,"Zamość, Karolówka",650000,,2743,6
lubelskie,"Lublin, Węglin, ul. Raszyńska",1800000,,8933,5
lubelskie,"Brzostówka, lubelskie",850000,,6071,5
lubelskie,"Niedrzwica Duża, lubelskie",680000,,5667,4
lubelskie,"Gawłówka, lubelskie",369000,,4613,4
lubelskie,"Podhorce, lubelskie",229000,,2863,2
lubelskie,"Zamość, lubelskie",530000,,4077,5
lubelskie,"Rybitwy, lubelskie",265000,,2880,3
lubelskie,"Borowina, lubelskie",1200000,,7777,5
lubelskie,"Okuninka, lubelskie",296000,,5286,3
lubelskie,"Zemborzyce Wojciechowskie, lubelskie",1190000,,7933,5
lubelskie,"Nałęczów, lubelskie",890000,,5973,5
lubelskie,"Dominów, lubelskie",950000,,6463,4
lubelskie,"Lublin, Węglinek, ul. Berylowa",2999000,,9997,5
lubelskie,"Snopków, Snopków, lubelskie",1300000,,8125,5
lubelskie,"Natalin, lubelski, lubelskie",839000,,5863,4
lubelskie,"Miłocin, Miłocin, lubelskie",750000,,43,3
lubelskie,"Lublin, Dziesiąta, ul. Władysława Broniewskiego",620000,,4429,4
lubelskie,"Lublin, Sławin",1050000,,5899,6
lubelskie,"Obliźniak, lubelskie",560000,,6087,3
lubelskie,"Dominów, lubelskie",769000,,4095,5
lubelskie,"Lublin, Stare Miasto, Miła",1199000,,13625,4
lubelskie,"Uhnin, lubelskie",345000,,2156,5
lubelskie,"Majdan Sobieszczański, lubelskie",230000,,2875,2
lubelskie,"Kijany, lubelskie",790000,,4158,6
lubelskie,"Lublin, Konstantynów",1430000,,8938,4
lubelskie,"Adampol, lubelskie",1199000,,3770,7
