obszar,lokacja,cena,przestrzeń_m2,cena_m2,ilość_pokoi
slaskie,"Sosnowiec, Klimontów, ul. Gwiezdna",,59.34,,3
slaskie,"Sosnowiec, Sielec, ul. Klimontowska",,65.98,,3
slaskie,"Katowice, Śródmieście, ul. 3 Maja 38",440030,46.94,9374,2
slaskie,"Katowice, Kostuchna, ul. Bażantów",2300000,196.4,11711,6
slaskie,"Katowice, Zarzecze",522900,77.7,6730,5
slaskie,"ul. Dworska, Sosnowiec, śląskie",,35.76,,2
slaskie,"Kościuszki, Chorzów, śląskie",,32.08,,1
slaskie,"Częstochowa, Północ, ul. Fieldorfa-Nila",289000,33.3,8679,2
slaskie,"ul. Północna, Bytom, śląskie",464174,80.03,5800,4
slaskie,"Katowice, Osiedle Paderewskiego - Muchowiec, ul. Francuska",1299000,100.45,12932,4
slaskie,"Gliwice, Śródmieście, ul. Ignacego Daszyńskiego",,29.8,,1
slaskie,"Gliwice, Śródmieście, ul. Ignacego Daszyńskiego",,61.67,,3
slaskie,"Gliwice, Śródmieście, ul. Ignacego Daszyńskiego",,49.4,,2
slaskie,"Tychy, Śródmieście",249000,36.2,6878,2
slaskie,"Ruda Śląska, Wirek, ul. Jarzębinowa",299000,47,6362,3
slaskie,"Katowice, Wełnowiec-Józefowiec, ul. Energetyków",539670,72.54,7440,3
slaskie,"Katowice, Osiedle Paderewskiego - Muchowiec, gen. W. Sikorskiego",,26.27,,1
slaskie,"Czechowice-Dziedzice, śląskie",370000,55,6727,3
slaskie,"Gliwice, Wojska Polskiego",430000,58.68,7328,4
slaskie,"Bielsko-Biała, Hałcnów, ul. Krasnoludków",430300,66.2,6500,4
slaskie,"Bytom, Stroszek, ul. Strzelców Bytomskich",169000,56.46,2993,2
slaskie,"ul. Elektrownia, Bytom, śląskie",159000,46.1,3449,2
slaskie,"Katowice, Koszutka, Słoneczna",,95.69,,5
slaskie,"ul. Racjonalizatorów, Bytom, śląskie",120000,67.43,1780,2
slaskie,"Częstochowa, Centrum, ul. Waszyngtona",299000,43.9,6811,2
slaskie,"Bytom, Szombierki, ul. Orzegowska",189000,52.17,3623,3
slaskie,"Bielsko-Biała, Aleksandrowice, ul. Bukowa",398925,49.25,8100,3
slaskie,"Ruda Śląska, Ruda, ul. Porębska",288429,36.51,7900,2
slaskie,"Częstochowa, Raków, ul. Łukasińskiego",349000,57,6123,3
slaskie,"Katowice, Wełnowiec-Józefowiec, ul. Energetyków",394572,40.86,9657,2
slaskie,"ul. Karola Szymanowskiego, Siemianowice Śląskie, śląskie",,43.27,,2
slaskie,"Katowice, Koszutka, Słoneczna",,58.45,,3
slaskie,"Sosnowiec, Kazimierz",255000,60,4250,3
slaskie,"Bielsko-Biała, Górne Przedmieście, ul. Browarna 12",579000,48.1,12037,2
slaskie,"Gliwice, Ostropa, Stara Cegielnia 18",618240,77.28,8000,3
slaskie,"Częstochowa, śląskie",279500,42,6655,2
slaskie,"Jaworzno, śląskie",249000,52.68,4727,2
slaskie,"Ruda Śląska, Ruda, ul. Porębska",288429,36.51,7900,2
slaskie,"Armii Krajowej, Mysłowice, śląskie",220000,63,3492,2
slaskie,"Katowice, Ligota-Panewniki, ul. Kijowska",,54.72,,3
slaskie,"ul. Północna, Bytom, śląskie",341649,54.23,6300,3
slaskie,"Bytom, śląskie",530000,103,5146,4
slaskie,"Bielsko-Biała, Aleksandrowice",614864,74.08,8300,4
slaskie,"Katowice, Koszutka, Słoneczna",,69.26,,4
slaskie,"Katowice, Osiedle Paderewskiego - Muchowiec, gen. W. Sikorskiego",,90.31,,4
